Disease,Symptoms,Causes,Effects,Medicines,Doctor Name,Hospital Name,Specialist,Doctor Age,Doctor Location
Amyloidosis,"Fatigue, weight loss, swelling, organ dysfunction",Protein deposits in organs,"Organ damage, heart failure, kidney issues","Supportive care, chemotherapy, organ transplant",Dr. Laura Smith,Amyloidosis Center,Hematologist,51,"Miami, FL"
Rheumatoid Arthritis,"Joint pain, swelling, stiffness",Autoimmune response attacking joints,"Joint damage, deformity","DMARDs, biologics, pain management",Dr. Emily White,Rheumatology Clinic,Rheumatologist,54,"New York, NY"
Osteoarthritis,"Joint pain, stiffness, reduced range of motion",Wear and tear of cartilage,"Joint pain, mobility issues","Pain relievers, physical therapy, joint injections",Dr. Robert Davis,Orthopedic Clinic,Orthopedic Surgeon,50,"Los Angeles, CA"
Systemic Lupus Erythematosus,"Fatigue, joint pain, skin rash, kidney issues",Autoimmune disease affecting multiple organs,"Organ damage, systemic inflammation","Immunosuppressants, corticosteroids",Dr. Karen Adams,Lupus Care Clinic,Rheumatologist,49,"San Diego, CA"
Sj”gren?s Syndrome,"Dry mouth, dry eyes, joint pain",Autoimmune attack on moisture-producing glands,"Dryness, joint pain","Artificial tears, saliva substitutes, immunosuppressants",Dr. Sarah White,Autoimmune Disease Center,Rheumatologist,46,"Chicago, IL"
Psoriasis,"Red patches of skin, itching, scaling",Immune system triggers,"Skin lesions, discomfort","Topical treatments, phototherapy, systemic medications",Dr. Emily Johnson,Dermatology Clinic,Dermatologist,48,"Boston, MA"
Eczema,"Itchy rash, redness, dryness","Allergies, irritants","Skin inflammation, discomfort","Topical steroids, emollients, avoiding triggers",Dr. Jessica Clark,Dermatology Care Center,Dermatologist,43,"San Francisco, CA"
Acne,"Pimples, blackheads, inflammation","Excess oil production, clogged pores","Skin lesions, scarring","Topical treatments, antibiotics, retinoids",Dr. Laura Brown,Acne Treatment Clinic,Dermatologist,41,"Seattle, WA"
Vitiligo,Loss of skin color in patches,Autoimmune destruction of pigment cells,Skin discoloration,"Topical corticosteroids, phototherapy",Dr. Michael Carter,Dermatology Clinic,Dermatologist,50,"Houston, TX"
Melanoma,"Dark spots, changes in existing moles, bleeding","UV radiation, genetic factors","Skin cancer, metastasis","Surgery, chemotherapy, targeted therapy",Dr. Sarah Adams,Skin Cancer Center,Oncologist,52,"New York, NY"
Non-Hodgkin Lymphoma,"Swollen lymph nodes, fever, night sweats",Abnormal lymphocyte growth,"Lymph node enlargement, immune system issues","Chemotherapy, radiation therapy, targeted therapy",Dr. Robert Harris,Lymphoma Treatment Center,Hematologist,51,"Los Angeles, CA"
Hodgkin Lymphoma,"Swollen lymph nodes, fever, weight loss",Abnormal growth of lymphocytes,"Lymph node enlargement, systemic symptoms","Chemotherapy, radiation therapy",Dr. Emily Clark,Hodgkin Lymphoma Clinic,Hematologist,49,"Chicago, IL"
Chronic Myeloid Leukemia,"Fatigue, weight loss, night sweats",Genetic mutations in bone marrow cells,"Anemia, spleen enlargement","Tyrosine kinase inhibitors, chemotherapy",Dr. Jessica Lewis,Leukemia Care Center,Hematologist,54,"San Diego, CA"
Acute Myeloid Leukemia,"Fatigue, bleeding, frequent infections",Abnormal growth of myeloid cells,"Anemia, bleeding disorders","Chemotherapy, stem cell transplant",Dr. Michael Smith,Acute Leukemia Clinic,Hematologist,48,"Houston, TX"
Essential Thrombocythemia,"Elevated platelet count, bleeding or clotting issues",Genetic mutations affecting platelet production,"Blood clots, bleeding issues","Aspirin, hydroxyurea, interferon",Dr. Sarah Johnson,Hematology Clinic,Hematologist,46,"Boston, MA"
Polycythemia Vera,"Headache, dizziness, itching, reddened skin",Overproduction of red blood cells,"Blood clots, bleeding, organ damage","Phlebotomy, hydroxyurea, interferon",Dr. Laura White,Blood Disorders Center,Hematologist,51,"San Francisco, CA"
Multiple Myeloma,"Bone pain, fatigue, anemia, kidney issues",Abnormal plasma cell growth,"Bone lesions, kidney damage","Chemotherapy, immunotherapy, stem cell transplant",Dr. Emily Smith,Myeloma Treatment Clinic,Hematologist,52,"Los Angeles, CA"
Osteoporosis,"Bone fractures, loss of height, back pain",Loss of bone density,"Bone fractures, posture changes","Bisphosphonates, calcium, vitamin D",Dr. Michael White,Bone Health Clinic,Endocrinologist,49,"Chicago, IL"
Paget?s Disease of Bone,"Bone pain, deformities, fractures",Abnormal bone remodeling,"Bone pain, deformities, increased fracture risk","Bisphosphonates, pain management",Dr. Sarah Clark,Paget?s Disease Center,Orthopedic Surgeon,50,"New York, NY"
Hyperthyroidism,"Weight loss, tremors, heat intolerance, rapid heartbeat",Overproduction of thyroid hormones,"Weight loss, heat intolerance, cardiac issues","Antithyroid medications, radioactive iodine",Dr. Emily Davis,Thyroid Clinic,Endocrinologist,47,"San Diego, CA"
Hypothyroidism,"Fatigue, weight gain, cold intolerance, dry skin",Underproduction of thyroid hormones,"Fatigue, weight gain, dry skin",Thyroid hormone replacement therapy,Dr. Laura Johnson,Endocrine Care Center,Endocrinologist,50,"Houston, TX"
Addison?s Disease,"Fatigue, weight loss, low blood pressure, dark skin",Adrenal gland insufficiency,"Fatigue, low blood pressure, skin changes","Corticosteroids, hormone replacement",Dr. Michael White,Adrenal Clinic,Endocrinologist,52,"Los Angeles, CA"
Cushing?s Syndrome,"Weight gain, moon face, high blood pressure, easy bruising",Excess cortisol production,"Weight gain, hypertension, skin changes","Corticosteroid inhibitors, surgery",Dr. Emily Brown,Cushing?s Care Center,Endocrinologist,49,"Chicago, IL"
Polycystic Ovary Syndrome (PCOS),"Irregular periods, excess hair growth, acne, weight gain",Hormonal imbalance,"Infertility, metabolic issues","Birth control pills, metformin, lifestyle changes",Dr. Laura Smith,PCOS Treatment Clinic,Endocrinologist,45,"New York, NY"
Endometriosis,"Painful periods, pelvic pain, infertility",Endometrial tissue growing outside the uterus,"Pelvic pain, infertility","Pain management, hormonal therapies, surgery",Dr. Sarah White,Gynecology Clinic,Gynecologist,51,"San Francisco, CA"
Fibroids,"Heavy menstrual bleeding, pelvic pain",Noncancerous growths in the uterus,"Pain, heavy bleeding","Hormonal treatments, surgery",Dr. Michael Johnson,Fibroid Care Center,Gynecologist,46,"Boston, MA"
Pelvic Inflammatory Disease,"Pelvic pain, abnormal discharge, fever",Infection of female reproductive organs,"Pain, fertility issues","Antibiotics, pain management",Dr. Emily Clark,Women?s Health Clinic,Gynecologist,48,"Houston, TX"
Prostate Enlargement (Benign Prostatic Hyperplasia),"Difficulty urinating, frequent urination, weak urine stream",Age-related enlargement of the prostate,"Urinary symptoms, discomfort","Alpha blockers, 5-alpha reductase inhibitors",Dr. Robert Smith,Urology Clinic,Urologist,53,"Los Angeles, CA"
Erectile Dysfunction,Difficulty achieving or maintaining an erection,"Vascular, neurological, or psychological issues","Relationship stress, reduced quality of life","PDE5 inhibitors, counseling, lifestyle changes",Dr. Laura White,Men?s Health Clinic,Urologist,50,"Chicago, IL"
Kidney Stones,"Severe pain, blood in urine, frequent urination",Mineral deposits in the kidneys,"Severe pain, urinary issues","Pain management, hydration, possible surgery",Dr. Emily Johnson,Kidney Care Clinic,Urologist,47,"San Francisco, CA"
Bladder Infection (Cystitis),"Painful urination, frequent urination, lower abdominal pain",Bacterial infection in the bladder,"Discomfort, frequent urination","Antibiotics, pain relievers",Dr. Michael Harris,Urology Clinic,Urologist,49,"Houston, TX"
Urinary Incontinence,"Urine leakage, urgency, frequent urination",Weakening of pelvic muscles,"Discomfort, social issues","Behavioral therapies, medications, surgery",Dr. Sarah Adams,Continence Care Center,Urologist,46,"Boston, MA"
Acute Renal Failure,"Reduced urine output, swelling, fatigue",Sudden loss of kidney function,"Fluid buildup, electrolyte imbalances","Dialysis, treating underlying causes",Dr. Emily White,Renal Care Clinic,Nephrologist,51,"New York, NY"
Chronic Renal Failure,"Fatigue, swelling, loss of appetite, nausea",Long-term kidney damage,"Fluid retention, electrolyte imbalances","Dialysis, kidney transplant",Dr. Michael Smith,Kidney Care Clinic,Nephrologist,53,"San Diego, CA"
Liver Cirrhosis,"Jaundice, abdominal pain, swelling, fatigue",Chronic liver damage,"Liver failure, fluid retention","Medications, liver transplant",Dr. Laura Brown,Liver Care Center,Hepatologist,52,"Houston, TX"
Hepatitis B,"Fatigue, jaundice, abdominal pain",Hepatitis B virus infection,"Liver inflammation, chronic liver disease","Antiviral medications, supportive care",Dr. Karen Johnson,Hepatitis Care Clinic,Hepatologist,50,"Los Angeles, CA"
Hepatitis C,"Fatigue, jaundice, abdominal pain",Hepatitis C virus infection,"Chronic liver disease, liver damage","Antiviral medications, liver transplant",Dr. Michael Davis,Hepatitis Treatment Center,Hepatologist,54,"Chicago, IL"
Nonalcoholic Fatty Liver Disease (NAFLD),"Fatigue, abdominal discomfort, enlarged liver",Accumulation of fat in the liver,"Liver inflammation, potential liver damage","Lifestyle changes, medications",Dr. Emily Harris,Liver Health Clinic,Hepatologist,48,"Boston, MA"
Gallbladder Disease,"Abdominal pain, nausea, vomiting, jaundice",Gallstones or inflammation,"Digestive issues, pain","Surgery (cholecystectomy), medications",Dr. Sarah Lewis,Gallbladder Clinic,Gastroenterologist,51,"San Francisco, CA"
Crohn?s Disease,"Abdominal pain, diarrhea, weight loss",Chronic inflammation of the digestive tract,"Intestinal blockages, malnutrition","Anti-inflammatory drugs, immunosuppressants",Dr. Michael Adams,Gastroenterology Clinic,Gastroenterologist,49,"Los Angeles, CA"
Ulcerative Colitis,"Abdominal pain, diarrhea with blood, weight loss",Inflammation of the colon,"Increased risk of colon cancer, anemia","Anti-inflammatory drugs, immunosuppressants",Dr. Emily Clark,Colitis Treatment Center,Gastroenterologist,50,"Chicago, IL"
Irritable Bowel Syndrome (IBS),"Abdominal pain, bloating, diarrhea or constipation",Functional gastrointestinal disorder,"Discomfort, altered bowel habits","Fiber supplements, antispasmodics, dietary changes",Dr. Sarah Johnson,IBS Care Center,Gastroenterologist,45,"Houston, TX"
Diverticulitis,"Abdominal pain, fever, nausea, vomiting",Inflammation of diverticula in the colon,"Pain, possible complications","Antibiotics, dietary changes, surgery",Dr. Michael Clark,Diverticulitis Clinic,Gastroenterologist,53,"Boston, MA"
Celiac Disease,"Diarrhea, bloating, gas, weight loss",Autoimmune response to gluten,"Malabsorption, nutritional deficiencies","Gluten-free diet, nutritional supplements",Dr. Emily Brown,Celiac Disease Center,Gastroenterologist,48,"San Diego, CA"
Gastritis,"Abdominal pain, nausea, vomiting, loss of appetite",Inflammation of the stomach lining,"Digestive issues, discomfort","Antacids, antibiotics (for H. pylori), proton pump inhibitors",Dr. Robert Smith,Gastroenterology Clinic,Gastroenterologist,50,"Houston, TX"
Peptic Ulcer Disease,"Burning stomach pain, bloating, nausea","H. pylori infection, NSAID use","Abdominal pain, bleeding, perforation","Proton pump inhibitors, antibiotics, antacids",Dr. Emily Davis,Ulcer Care Center,Gastroenterologist,52,"Los Angeles, CA"
Acute Pancreatitis,"Severe abdominal pain, nausea, vomiting, fever",Inflammation of the pancreas,"Digestive issues, potential organ failure","Pain management, supportive care, treating underlying causes",Dr. Sarah Adams,Pancreas Health Clinic,Gastroenterologist,49,"Chicago, IL"
Chronic Pancreatitis,"Abdominal pain, weight loss, diabetes",Long-term inflammation of the pancreas,"Digestive issues, diabetes","Pain management, enzyme supplements, lifestyle changes",Dr. Laura White,Pancreatitis Care Center,Gastroenterologist,50,"San Francisco, CA"
Appendicitis,"Abdominal pain, nausea, vomiting, fever",Inflammation of the appendix,"Abdominal pain, potential rupture","Surgery (appendectomy), antibiotics",Dr. Michael Harris,Appendicitis Clinic,General Surgeon,47,"New York, NY"
Hernia,"Bulge, pain, discomfort, weakness",Weakness in abdominal wall,"Bulging tissue, discomfort","Surgery (hernia repair), lifestyle changes",Dr. Emily Johnson,Hernia Care Center,General Surgeon,52,"Boston, MA"
Osteomyelitis,"Bone pain, swelling, redness, fever",Bone infection (often from bacteria),"Bone damage, systemic infection","Antibiotics, surgery",Dr. Laura Smith,Orthopedic Infection Clinic,Orthopedic Surgeon,51,"San Diego, CA"
Rheumatic Fever,"Fever, joint pain, rash, heart inflammation",Streptococcal infection,"Joint pain, heart damage","Antibiotics, anti-inflammatory medications",Dr. Michael Clark,Rheumatic Disease Center,Rheumatologist,49,"Houston, TX"
Sickle Cell Disease,"Anemia, pain episodes, swelling in hands/feet",Genetic disorder affecting hemoglobin,"Pain crises, organ damage","Pain management, blood transfusions, hydroxyurea",Dr. Emily Davis,Hematology Clinic,Hematologist,50,"Chicago, IL"
Thalassemia,"Anemia, fatigue, pale skin, enlarged spleen",Genetic disorder affecting hemoglobin,"Severe anemia, organ damage","Blood transfusions, chelation therapy",Dr. Sarah Clark,Thalassemia Treatment Center,Hematologist,53,"San Francisco, CA"
Hemophilia,"Excessive bleeding, easy bruising, joint pain",Genetic disorder affecting blood clotting,"Bleeding disorders, joint damage","Clotting factor replacement, supportive care",Dr. Robert Johnson,Hemophilia Clinic,Hematologist,50,"Los Angeles, CA"
Von Willebrand Disease,"Excessive bleeding, frequent nosebleeds, easy bruising",Genetic bleeding disorder,"Bleeding issues, easy bruising","Clotting factor concentrates, desmopressin",Dr. Emily Brown,Blood Disorders Center,Hematologist,48,"Houston, TX"
Bernard-Soulier Syndrome,"Excessive bleeding, easy bruising, nosebleeds",Platelet dysfunction,"Bleeding disorders, frequent nosebleeds","Platelet transfusions, supportive care",Dr. Laura White,Hematology Clinic,Hematologist,52,"Boston, MA"
Glanzmann Thrombasthenia,"Bleeding disorders, easy bruising, gum bleeding",Platelet function disorder,"Excessive bleeding, bruising","Platelet transfusions, supportive care",Dr. Michael Smith,Hematology Care Center,Hematologist,49,"San Diego, CA"
Myasthenia Gravis,"Muscle weakness, drooping eyelids, difficulty swallowing",Autoimmune disorder affecting neuromuscular junctions,"Muscle weakness, fatigue","Anticholinesterase medications, immunosuppressants",Dr. Emily Harris,Neuromuscular Clinic,Neurologist,51,"Chicago, IL"
Lambert-Eaton Syndrome,"Muscle weakness, dry mouth, difficulty swallowing",Autoimmune disorder affecting neuromuscular junctions,"Muscle weakness, fatigue","Immunosuppressants, physical therapy",Dr. Laura Johnson,Neurology Clinic,Neurologist,48,"New York, NY"
Myopathy,"Muscle weakness, pain, fatigue",Muscle inflammation or damage,"Muscle weakness, pain","Corticosteroids, immunosuppressants",Dr. Michael Davis,Myopathy Care Center,Neurologist,49,"Los Angeles, CA"
Muscular Dystrophy,"Progressive muscle weakness, difficulty walking",Genetic disorders affecting muscle function,"Muscle wasting, loss of mobility","Physical therapy, supportive care",Dr. Emily Clark,Muscular Dystrophy Clinic,Neurologist,50,"San Francisco, CA"
Amyotrophic Lateral Sclerosis (ALS),"Muscle weakness, difficulty speaking, difficulty swallowing",Degeneration of motor neurons,"Muscle weakness, difficulty with movement","Riluzole, supportive care, physical therapy",Dr. Sarah Lewis,ALS Care Center,Neurologist,53,"Boston, MA"
Huntington?s Disease,"Movement disorders, cognitive decline, psychiatric symptoms",Genetic disorder affecting brain cells,"Motor symptoms, cognitive decline","Supportive care, medication for symptoms",Dr. Michael Harris,Neurology and Genetics Clinic,Neurologist,52,"Houston, TX"
Wilson?s Disease,"Liver dysfunction, neurological symptoms, psychiatric symptoms",Copper accumulation in the body,"Liver damage, neurological issues","Copper chelation therapy, supportive care",Dr. Emily Johnson,Wilson?s Disease Center,"Hepatologist, Neurologist",51,"San Diego, CA"
Friedreich?s Ataxia,"Difficulty walking, loss of coordination, scoliosis",Genetic disorder affecting the nervous system,Motor and coordination issues,"Supportive care, physical therapy",Dr. Laura Adams,Ataxia Care Center,Neurologist,50,"Chicago, IL"
Spinocerebellar Ataxia,"Difficulty with coordination, speech problems, tremors",Genetic disorders affecting the cerebellum,Motor coordination issues,"Supportive care, physical therapy",Dr. Robert Clark,Neurology Clinic,Neurologist,48,"Los Angeles, CA"
Charcot-Marie-Tooth Disease,"Muscle weakness, loss of sensation, foot deformities",Genetic neuropathy affecting peripheral nerves,"Muscle weakness, sensory loss","Physical therapy, supportive care",Dr. Michael White,Neuropathy Care Center,Neurologist,49,"San Francisco, CA"
Guillain-Barr‚ Syndrome,"Muscle weakness, tingling, paralysis",Autoimmune attack on peripheral nerves,"Muscle weakness, paralysis","Immunoglobulins, plasma exchange",Dr. Emily Brown,Neurology Clinic,Neurologist,50,"Houston, TX"
Chronic Fatigue Syndrome,"Persistent fatigue, sleep disturbances, muscle pain","Unknown, possibly viral or immune system issues","Persistent fatigue, impaired function","Cognitive behavioral therapy, lifestyle changes",Dr. Sarah Clark,Fatigue Treatment Clinic,Rheumatologist,47,"Boston, MA"
Fibromyalgia,"Widespread muscle pain, fatigue, sleep disturbances","Unknown, possibly related to stress or genetics","Muscle pain, fatigue","Pain management, lifestyle changes",Dr. Laura Davis,Pain Management Clinic,Rheumatologist,49,"San Diego, CA"
Lyme Disease,"Fever, headache, fatigue, rash",Tick-borne bacterial infection,"Rash, joint pain, flu-like symptoms","Antibiotics, supportive care",Dr. Michael Johnson,Infectious Disease Clinic,Infectious Disease Specialist,48,"Houston, TX"
Rocky Mountain Spotted Fever,"Fever, headache, rash, muscle pain",Tick-borne bacterial infection,"Rash, systemic symptoms","Antibiotics, supportive care",Dr. Emily Clark,Infectious Disease Center,Infectious Disease Specialist,50,"Chicago, IL"
Typhoid Fever,"Fever, abdominal pain, headache, weakness",Bacterial infection (Salmonella Typhi),"Fever, gastrointestinal issues","Antibiotics, supportive care",Dr. Sarah Adams,Tropical Disease Clinic,Infectious Disease Specialist,49,"San Francisco, CA"
Cholera,"Severe diarrhea, dehydration, abdominal cramps",Bacterial infection (Vibrio cholerae),"Severe dehydration, electrolyte imbalance","Rehydration, antibiotics",Dr. Michael Smith,Infectious Disease Clinic,Infectious Disease Specialist,50,"New York, NY"
Tuberculosis,"Cough, weight loss, night sweats, fever",Bacterial infection (Mycobacterium tuberculosis),"Lung damage, systemic symptoms",Antibiotics (long-term therapy),Dr. Emily Davis,TB Care Center,Infectious Disease Specialist,53,"Boston, MA"
Asthma,"Wheezing, shortness of breath, coughing",Airway inflammation and constriction,"Breathing difficulties, chest tightness","Inhalers, corticosteroids, lifestyle changes",Dr. Laura White,Asthma Care Clinic,Pulmonologist,46,"Los Angeles, CA"
Chronic Obstructive Pulmonary Disease (COPD),"Chronic cough, shortness of breath, wheezing","Long-term exposure to irritants (e.g., smoking)","Reduced lung function, breathing difficulties","Bronchodilators, corticosteroids, oxygen therapy",Dr. Michael Brown,COPD Care Center,Pulmonologist,49,"Houston, TX"
Lung Cancer,"Persistent cough, chest pain, weight loss, shortness of breath",Malignant tumor in the lungs,"Breathing difficulties, weight loss","Surgery, chemotherapy, radiation therapy",Dr. Emily White,Oncology Clinic,Oncologist,51,"San Diego, CA"
Pulmonary Embolism,"Sudden shortness of breath, chest pain, cough",Blood clot in the lungs,"Breathing difficulties, chest pain","Anticoagulants, thrombolytics",Dr. Sarah Johnson,Pulmonary Clinic,Pulmonologist,50,"Chicago, IL"
Pneumonia,"Cough, fever, difficulty breathing, chest pain",Infection in the lungs,"Breathing difficulties, chest pain","Antibiotics, supportive care",Dr. Michael Harris,Pneumonia Care Center,Pulmonologist,48,"Boston, MA"
Bronchitis,"Cough, mucus production, wheezing",Inflammation of the bronchial tubes,"Cough, mucus production","Bronchodilators, corticosteroids",Dr. Emily Clark,Respiratory Clinic,Pulmonologist,46,"San Francisco, CA"
Tuberculosis,"Cough, weight loss, night sweats, fever",Bacterial infection (Mycobacterium tuberculosis),"Lung damage, systemic symptoms",Antibiotics (long-term therapy),Dr. Sarah Johnson,TB Care Center,Infectious Disease Specialist,50,"Houston, TX"
Sleep Apnea,"Loud snoring, daytime sleepiness, choking during sleep",Repeated episodes of interrupted breathing during sleep,"Daytime sleepiness, poor sleep quality","CPAP therapy, lifestyle changes",Dr. Michael Davis,Sleep Disorders Clinic,Sleep Specialist,52,"New York, NY"
Insomnia,"Difficulty falling asleep, staying asleep, early morning awakening",Problems with sleep initiation or maintenance,"Daytime fatigue, impaired functioning","Cognitive behavioral therapy, sleep aids",Dr. Emily Brown,Sleep Clinic,Sleep Specialist,50,"San Diego, CA"
Narcolepsy,"Excessive daytime sleepiness, sudden sleep attacks, hallucinations",Neurological disorder affecting sleep-wake regulation,"Excessive daytime sleepiness, impaired alertness","Stimulants, medications for sleep regulation",Dr. Sarah Lewis,Narcolepsy Care Center,Sleep Specialist,48,"Chicago, IL"
Restless Legs Syndrome,"Uncomfortable sensations in legs, urge to move legs",Neurological condition affecting the legs,"Discomfort, sleep disturbances","Medications, lifestyle changes",Dr. Michael Johnson,Restless Legs Clinic,Sleep Specialist,51,"Boston, MA"
Multiple Sclerosis,"Muscle weakness, vision problems, balance issues",Autoimmune disorder affecting the central nervous system,"Muscle weakness, vision problems","Disease-modifying therapies, supportive care",Dr. Laura Johnson,MS Care Center,Neurologist,53,"San Diego, CA"
Parkinson?s Disease,"Tremors, stiffness, bradykinesia, postural instability",Neurodegenerative disorder affecting movement control,"Motor symptoms, balance issues","Levodopa, supportive therapies",Dr. Emily Davis,Parkinson?s Care Clinic,Neurologist,50,"Houston, TX"
Alzheimer's Disease,"Memory loss, cognitive decline, confusion",Neurodegenerative disorder affecting memory and cognition,"Memory loss, cognitive decline","Cognitive enhancers, supportive care",Dr. Michael Harris,Alzheimer?s Care Center,Neurologist,52,"Los Angeles, CA"
Huntington?s Disease,"Movement disorders, cognitive decline, psychiatric symptoms",Genetic disorder affecting brain cells,"Motor symptoms, cognitive decline","Supportive care, medication for symptoms",Dr. Emily Clark,Neurology and Genetics Clinic,Neurologist,49,"San Francisco, CA"
Wilson?s Disease,"Liver dysfunction, neurological symptoms, psychiatric symptoms",Copper accumulation in the body,"Liver damage, neurological issues","Copper chelation therapy, supportive care",Dr. Michael White,Wilson?s Disease Center,"Hepatologist, Neurologist",50,"Boston, MA"
Friedreich?s Ataxia,"Difficulty walking, loss of coordination, scoliosis",Genetic disorder affecting the nervous system,Motor and coordination issues,"Supportive care, physical therapy",Dr. Laura Adams,Ataxia Care Center,Neurologist,50,"San Diego, CA"
Spinocerebellar Ataxia,"Difficulty with coordination, speech problems, tremors",Genetic disorders affecting the cerebellum,Motor coordination issues,"Supportive care, physical therapy",Dr. Emily Harris,Neurology Clinic,Neurologist,48,"New York, NY"
Charcot-Marie-Tooth Disease,"Muscle weakness, loss of sensation, foot deformities",Genetic neuropathy affecting peripheral nerves,"Muscle weakness, sensory loss","Physical therapy, supportive care",Dr. Michael Smith,Neuropathy Care Center,Neurologist,47,"San Diego, CA"
Guillain-Barr‚ Syndrome,"Muscle weakness, tingling, paralysis",Autoimmune attack on peripheral nerves,"Muscle weakness, paralysis","Immunoglobulins, plasma exchange",Dr. Emily Clark,Neurology Clinic,Neurologist,50,"Boston, MA"
Chronic Fatigue Syndrome,"Persistent fatigue, sleep disturbances, muscle pain","Unknown, possibly viral or immune system issues","Persistent fatigue, impaired function","Cognitive behavioral therapy, lifestyle changes",Dr. Michael Johnson,Fatigue Treatment Clinic,Rheumatologist,52,"Houston, TX"
Fibromyalgia,"Widespread muscle pain, fatigue, sleep disturbances","Unknown, possibly related to stress or genetics","Muscle pain, fatigue","Pain management, lifestyle changes",Dr. Sarah Adams,Pain Management Clinic,Rheumatologist,49,"Chicago, IL"
Lyme Disease,"Fever, headache, fatigue, rash",Tick-borne bacterial infection,"Rash, joint pain, flu-like symptoms","Antibiotics, supportive care",Dr. Laura White,Infectious Disease Clinic,Infectious Disease Specialist,50,"Los Angeles, CA"
Rocky Mountain Spotted Fever,"Fever, headache, rash, muscle pain",Tick-borne bacterial infection,"Rash, systemic symptoms","Antibiotics, supportive care",Dr. Emily Johnson,Infectious Disease Center,Infectious Disease Specialist,48,"New York, NY"
Typhoid Fever,"Fever, abdominal pain, headache, weakness",Bacterial infection (Salmonella Typhi),"Fever, gastrointestinal issues","Antibiotics, supportive care",Dr. Sarah Lewis,Tropical Disease Clinic,Infectious Disease Specialist,49,"San Diego, CA"
Cholera,"Severe diarrhea, dehydration, abdominal cramps",Bacterial infection (Vibrio cholerae),"Severe dehydration, electrolyte imbalance","Rehydration, antibiotics",Dr. Michael Davis,Infectious Disease Clinic,Infectious Disease Specialist,50,"Chicago, IL"
Tuberculosis,"Cough, weight loss, night sweats, fever",Bacterial infection (Mycobacterium tuberculosis),"Lung damage, systemic symptoms",Antibiotics (long-term therapy),Dr. Laura Adams,TB Care Center,Infectious Disease Specialist,51,"San Francisco, CA"
Asthma,"Wheezing, shortness of breath, coughing",Airway inflammation and constriction,"Breathing difficulties, chest tightness","Inhalers, corticosteroids, lifestyle changes",Dr. Michael White,Asthma Care Clinic,Pulmonologist,49,"San Diego, CA"
Chronic Obstructive Pulmonary Disease (COPD),"Chronic cough, shortness of breath, wheezing","Long-term exposure to irritants (e.g., smoking)","Reduced lung function, breathing difficulties","Bronchodilators, corticosteroids, oxygen therapy",Dr. Emily Clark,COPD Care Center,Pulmonologist,51,"Boston, MA"
Lung Cancer,"Persistent cough, chest pain, weight loss, shortness of breath",Malignant tumor in the lungs,"Breathing difficulties, weight loss","Surgery, chemotherapy, radiation therapy",Dr. Sarah Johnson,Oncology Clinic,Oncologist,50,"Los Angeles, CA"
Pulmonary Embolism,"Sudden shortness of breath, chest pain, cough",Blood clot in the lungs,"Breathing difficulties, chest pain","Anticoagulants, thrombolytics",Dr. Michael Davis,Pulmonary Clinic,Pulmonologist,48,"San Diego, CA"
Pneumonia,"Cough, fever, difficulty breathing, chest pain",Infection in the lungs,"Breathing difficulties, chest pain","Antibiotics, supportive care",Dr. Emily Harris,Pneumonia Care Center,Pulmonologist,49,"Houston, TX"
Bronchitis,"Cough, mucus production, wheezing",Inflammation of the bronchial tubes,"Cough, mucus production","Bronchodilators, corticosteroids",Dr. Sarah Davis,Respiratory Clinic,Pulmonologist,47,"Boston, MA"
Sleep Apnea,"Loud snoring, daytime sleepiness, choking during sleep",Repeated episodes of interrupted breathing during sleep,"Daytime sleepiness, poor sleep quality","CPAP therapy, lifestyle changes",Dr. Michael Clark,Sleep Disorders Clinic,Sleep Specialist,52,"San Francisco, CA"
Insomnia,"Difficulty falling asleep, staying asleep, early morning awakening",Problems with sleep initiation or maintenance,"Daytime fatigue, impaired functioning","Cognitive behavioral therapy, sleep aids",Dr. Emily Davis,Sleep Clinic,Sleep Specialist,48,"Los Angeles, CA"
Narcolepsy,"Excessive daytime sleepiness, sudden sleep attacks, hallucinations",Neurological disorder affecting sleep-wake regulation,"Excessive daytime sleepiness, impaired alertness","Stimulants, medications for sleep regulation",Dr. Sarah White,Narcolepsy Care Center,Sleep Specialist,50,"Houston, TX"
Restless Legs Syndrome,"Uncomfortable sensations in legs, urge to move legs",Neurological condition affecting the legs,"Discomfort, sleep disturbances","Medications, lifestyle changes",Dr. Michael Johnson,Restless Legs Clinic,Sleep Specialist,47,"New York, NY"
Multiple Sclerosis,"Muscle weakness, vision problems, balance issues",Autoimmune disorder affecting the central nervous system,"Muscle weakness, vision problems","Disease-modifying therapies, supportive care",Dr. Laura Smith,MS Care Center,Neurologist,52,"San Diego, CA"
Parkinson?s Disease,"Tremors, stiffness, bradykinesia, postural instability",Neurodegenerative disorder affecting movement control,"Motor symptoms, balance issues","Levodopa, supportive therapies",Dr. Emily Harris,Parkinson?s Care Clinic,Neurologist,50,"Boston, MA"
Alzheimer?s Disease,"Memory loss, cognitive decline, confusion",Neurodegenerative disorder affecting memory and cognition,"Memory loss, cognitive decline","Cognitive enhancers, supportive care",Dr. Michael White,Alzheimer?s Care Center,Neurologist,51,"San Francisco, CA"
Huntington?s Disease,"Movement disorders, cognitive decline, psychiatric symptoms",Genetic disorder affecting brain cells,"Motor symptoms, cognitive decline","Supportive care, medication for symptoms",Dr. Laura Clark,Neurology and Genetics Clinic,Neurologist,49,"Houston, TX"
